village,session,date,heure,especes,etat,nombre,endroit,sex,obtenu via,obtenu comment,obtenu ou,but,prix,tue via,tue quand,tue ou,cote,km
C6,6,26.07.19,07:24:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,8
C6,6,26.07.19,07:24:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,N,8
C6,6,26.07.19,08:02:00,ATH,E,1,R,F,C,C,V,V,7000,F,N,FO,N,4
C6,6,26.07.19,08:02:00,PCM,E,1,R,F,C,C,V,V,2000,M,N,NA,NA,NA
C6,6,27.07.19,07:31:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,S,5
C6,6,27.07.19,07:31:00,CBL,E,1,M,M,C,C,V,V,5000,F,N,FO,S,5
C6,6,27.07.19,08:00:00,CBL,E,1,M,M,C,C,V,M,NA,F,N,FO,N,4
C6,6,27.07.19,08:00:00,CBL,E,1,R,M,C,C,V,V,5000,F,N,FO,N,4
C6,6,27.07.19,08:00:00,CBA,E,1,R,M,C,C,V,V,15000,F,N,FO,N,4
C6,6,27.07.19,15:57:00,CDJ,MI,2,M,NA,C,C,V,M,NA,P,J,FO,S,9
C6,6,27.07.19,15:57:00,CMN,MID,2,M,NA,C,C,V,M,NA,P,J,FO,S,9
C6,6,27.07.19,15:57:00,CBL,E,1,M,M,C,C,V,V,4000,P,J,FO,S,9
C6,6,27.07.19,15:57:00,CBA,E,1,M,F,C,C,V,V,12000,P,J,FO,S,9
C10,6,10.07.19,16:08:00,HOC,E,1,M,M,C,C,V,M,NA,F,J,FO,S,4
